   x    V1    V2
0.210000 1710521713830569035289562988407619313887341534906785512367584068487895106718687810279958313635156633931876927529658355810304.000000 nan 
0.220000 3512617839103187651446334868958356234552956707629029143440600844655311690879261282591882126993813766109269020530452826423296.000000 nan 
0.230000 7193331279175317250414276705471349688459714572925186299603491483308738017227400365737017382569978671399908833102952866512896.000000 nan 
0.240000 14692799506315461891845707767869728512580888545977573862032016667684265033883844830039212226220224757073229383757061771231232.000000 nan 
0.250000 29938046444707515928279635811757670628105834442752315538265511121271969518705844776466973040068680002419376499320160088227840.000000 nan 
0.260000 60862239683244116490127187483105750822632546622482587269619887562320630214628999043324238108547056569669041729665633336950784.000000 nan 
0.270000 123461736950156847407586291843705355364071143928565733444796504380827679086141427205498766734674803967896630546277403642036224.000000 nan 
0.280000 249934072429873771984576778029793009779218449046411969077617470026448488974428199242253189750022204905822758078370306890661888.000000 nan 
0.290000 504976152014774005201437237951447542491800068340026117809810025101689789652929969140389502494855840698864531510900457914499072.000000 nan 
0.300000 1018375605173088148637635508585457539046227816674683131701064515803130799143913908752228897773342021518853112420385152626065408.000000 nan 
0.310000 2050087891919063451712117425322491891127370705401866342718822920090993833603845163508229095151677431858510931445591016986378240.000000 nan 
0.320000 4119995460389228403566078394249593215972740579346685835368709102500656570431129866880157247678678441720846736057832692749697024.000000 nan 
0.330000 8266283057336718704726540093805648279007667128744274792842570577396702317184204254353920874903411326512826141120297362339659776.000000 nan 
0.340000 16559227032919771337845140665955514176872735372448977787155545112076185901757656816016847269766490699152257458538316436804206592.000000 nan 
0.350000 33121562976525402019102917696159868200647083326654645816024198488020052710005208829643045062320745282899203168745824070624346112.000000 nan 
0.360000 66152348953420038835380029833943913298894037806373889202446600133069663619448652675500090364486037336308483553311487430469091328.000000 nan 
0.370000 131936303884513703027567680557770808128040342938636194547622695226111342360182483172592619244181478757790422114209270271917948928.000000 nan 
0.380000 262776936091222505000211171498829487957709737274549104086938275644198019819730190994613123452753781884602738703707174330590822400.000000 nan 
0.390000 522675195123907612036240425217240231929991155168294582000298332577707821669047217697768226446631957076963400112211866038675963904.000000 nan 
0.400000 1038280615896441523504784873461342777818359876810336337714710679208624760313690887623699645747740638004524012220114078836979662848.000000 nan 
0.410000 2059923508109036329015556891626667078776791978796964014642277428307709567291503231956060584855950460487314870878188776910183464960.000000 nan 
0.420000 4081831746341426984298566235593642150176576505159516617497762910021240907516014660785914319447999937295558962920815912194169372672.000000 nan 
0.430000 8078670536012843788516181915481096260213273799679824507498668984169239765635538803407596056612921840228720755170640089163075944448.000000 nan 
0.440000 15970468845436068168498416756531166113529707504656176579177873051409326551709674184424502575062685446804387793332935125103684878336.000000 nan 
0.450000 31535497556556107826482536249642229227563470967283837378277037863892961659130683563062423454569367092646568649843426181438943264768.000000 nan 
0.460000 62200861453648571693087470230273806892997268415479253870191262235503431429146103495607506778406318494334546884234868686103762698240.000000 nan 
0.470000 122551162971489255841729133070330125768313926889966795561510044690240981430200178448580334648855756858135573339764123263776545832960.000000 nan 
0.480000 241196868885436950098311132345279435284731193879219140686497590402871161375584094872746673150452258300745440545112290195911858978816.000000 nan 
0.490000 474206177870008999849111879758059157204721276092559414842809389309110866182649881660628933467078527706883810375345903887739468644352.000000 nan 
0.500000 931346865944507413534520319480227926683468641891201189619851413279371387245546667866805005785026109784743672357761643473451895226368.000000 nan 
0.510000 1827305210207439332154184275497232857248677720066750470778157412682482262510537825393343173130974304999597259179709054891761128701952.000000 nan 
0.520000 3581558704742301853128626671352856045517590674079069124965680465904157619752199515566550606945010085051648343950832326390220486344704.000000 nan 
0.530000 7012932212625144960802932131271640601210735979455894134427813612119782819900673154518677931640585139882838149820807896283540310982656.000000 nan 
0.540000 13718236835853675711353063196418093766443777854031760929173208401308450830830423193190831028319288091451253903515819119002409878159360.000000 nan 
0.550000 26808454897274270999969593312330672930381093833506648819505996617342161050555005789169476947155472608428785003705393054828636160393216.000000 nan 
0.560000 52338715305043174622918996679361873523796200059052693163159232708134988029511575102546802305159090770854964434687985602734572351520768.000000 nan 
0.570000 102083192100237537990602493718535795734117621293339620831101083493464752006523704541418814607926732802918737200565987771626892763856896.000000 nan 
0.580000 198914560945874438232660378459602355075921852649706621595938753755933452490645249392153927326112044495353580045125616607694838258728960.000000 nan 
0.590000 387222296265723643748475750658491847577132026644654634393567869911371768324216952297137018956631836953485229744433629079913653921120256.000000 nan 
0.600000 753069156912125870420041051748968100586233660063420191986720519141273307735373544917154182689605873218200627586203443836889431671832576.000000 nan 
0.610000 1463148004454214076009610422682429410752101833625144634401903176288985405758806987521752107716055212764917942616594506290736370334826496.000000 nan 
0.620000 2839994566475830577274751777679878560378422301931114031691784773117772766906931316280063987453011858239187026789186942541248921562251264.000000 nan 
0.630000 5507040033611144205450002299740425065062038850946136012984519411678953539833350727752436419946743651742175028270985643943748033331593216.000000 nan 
0.640000 10668038631796218705549569268396978771295419921986741726145531661901010205080703130100483049155305365566131175432354344104476746734108672.000000 nan 
0.650000 20644722645512818632587210629958384835566969031171460920180773147392058207161926407977570281141492262723467971036386737909564474583416832.000000 nan 
0.660000 39910054740530231154043515972336010394152061267048245160972274546002630739580392553739086967137569994776395795005735425272245107302596608.000000 nan 
0.670000 77071356926995217666258459440712743887669204067635158519710404027482848231053583250338639473167189758313008205910539199984041848909856768.000000 nan 
0.680000 148671386967464198037194021334371243385134310429691774244365695655903293299394617006118898309477354894249805833038044049359090536065007616.000000 nan 
0.690000 286463411317050751419464273016364961481792102714705333567002039416722562772744535630995876011792237994036307502577866368553693623347052544.000000 nan 
0.700000 551313972598298682759777588709386745475492893991452153125350344828829328107987280551154391169532045111657271659744807704264581779457835008.000000 nan 
0.710000 1059727521886032624571044077877059923797600575094626575081536653071233763182458198709837510679887553991479057206978107117479214508400443392.000000 nan 
0.720000 2034361903079873709148430512231288870168185075575306067526641571441831078915633416196929906717654448986292572740787334512505853986142683136.000000 nan 
0.730000 3900047936616132019988941840780256860830299158379466666220178622952188951520162106604480095492569435679582293624768419220722771257181863936.000000 nan 
0.740000 7465917450030862127740783340200039305783748437904599795850564527934716937161986946232480437202493285913851711415835585361058728529136451584.000000 nan 
0.750000 14270057064605198538064906107182048426040231815240419721183220411841046814323723254800034768062987736096503935201667679790011177212489760768.000000 nan 
0.760000 27230041234097327222352069056288193898600084843646336271447987313464801751131720784482177951358653811662314528311174150788848556100401758208.000000 nan 
0.770000 51867282857836636206801195173778005638278349361724847345879610876949745809060213587135740910263839990126185562038950462755236877518766080000.000000 nan 
