   x  
49.743418, \
0.732885, \
0.682709, \
0.629688, \
0.579685, \
0.531116, \
0.484130, \
0.439758, \
0.396230, \
0.355927, \
0.316862, \
0.281425, \
0.248716, \
0.218059, \
0.190639, \
0.165659, \
0.143437, \
0.123323, \
0.105685, \
0.089943, \
0.075692, \
0.063656, \
0.053496, \
0.044449, \
0.036514, \
0.030031, \
0.024653, \
0.020085, \
0.016272, \
0.012998, \
0.010374, \
0.008388, \
0.006639, \
0.005145, \
0.004083, \
0.003186, \
0.002470, \
0.001945, \
0.001466, \
0.001114, \
0.000850, \
0.000688, \
0.000523, \
0.000381, \
0.000274, \
0.000189, \
0.000144, \
0.000107, \
0.000080, \
0.000061, \
0.000045, \
0.000028, \
0.000022, \
0.000016, \
0.000010, \
0.000008, \
0.000006, \
0.000002, \
0.000004, \
0.000002, \
0.000002, \
0.000002, \
0.000000, \
0.000001, \
0.000002, \
0.000000, \
0.000000, \
0.000000, \
0.000001, \
0.000000, \
0.000000, \
0.000002, \
