   x  
124.741809, \
1.000000, \
0.706245, \
0.674452, \
0.641301, \
0.609994, \
0.577941, \
0.547949, \
0.517359, \
0.486598, \
0.457014, \
0.429791, \
0.403034, \
0.376129, \
0.350954, \
0.326353, \
0.302977, \
0.280639, \
0.259960, \
0.240014, \
0.220504, \
0.202364, \
0.185863, \
0.169603, \
0.154535, \
0.140420, \
0.127569, \
0.115826, \
0.104754, \
0.094508, \
0.084487, \
0.075845, \
0.068003, \
0.060817, \
0.054310, \
0.048058, \
0.042696, \
0.038109, \
0.033536, \
0.029099, \
0.025757, \
0.022509, \
0.019675, \
0.017194, \
0.015109, \
0.013038, \
0.011315, \
0.009729, \
0.008426, \
0.007346, \
0.006201, \
0.005354, \
0.004478, \
0.003784, \
0.003210, \
0.002739, \
0.002363, \
0.002019, \
0.001677, \
0.001397, \
0.001152, \
0.000973, \
0.000791, \
0.000655, \
0.000539, \
0.000444, \
0.000336, \
0.000257, \
0.000178, \
0.000115, \
0.000050, \
0.001412, \
