   x  
249.735454, \
1.000000, \
0.719455, \
0.696381, \
0.673598, \
0.650048, \
0.627331, \
0.604910, \
0.582327, \
0.560088, \
0.539029, \
0.517671, \
0.496091, \
0.474943, \
0.454558, \
0.434273, \
0.415646, \
0.396966, \
0.378218, \
0.359562, \
0.341988, \
0.324553, \
0.308633, \
0.292511, \
0.276508, \
0.261204, \
0.246471, \
0.232656, \
0.219393, \
0.207047, \
0.194376, \
0.182753, \
0.171424, \
0.160362, \
0.149872, \
0.140454, \
0.131423, \
0.122139, \
0.113375, \
0.105577, \
0.098126, \
0.091353, \
0.084678, \
0.078170, \
0.072344, \
0.066626, \
0.061522, \
0.056736, \
0.052079, \
0.047977, \
0.043947, \
0.040024, \
0.036725, \
0.033439, \
0.030415, \
0.027682, \
0.025053, \
0.022493, \
0.020227, \
0.018224, \
0.016231, \
0.014256, \
0.012530, \
0.010795, \
0.009207, \
0.007668, \
0.006256, \
0.004835, \
0.003505, \
0.002174, \
0.000858, \
0.092894, \
