   x    V1    V2
0.000000 1.000000 1.000000 
0.090909 0.390625 0.862148 
0.181818 0.132812 0.729552 
0.272727 0.041992 0.605495 
0.363636 0.012695 0.492381 
0.454545 0.003723 0.391582 
0.545455 0.001068 0.303402 
0.636364 0.000301 0.227134 
0.727273 0.000084 0.161189 
0.818182 0.000023 0.103268 
0.909091 0.000006 0.050570 
1.000000 0.000000 0.000000 
