x_mat     x2
0    0
0.00990099    0.0834704
0.019802    0.166941
0.029703    0.241532
0.039604    0.308082
0.0495049    0.367348
0.0594059    0.420016
0.0693069    0.46671
0.0792079    0.507991
0.0891089    0.54437
0.0990099    0.57631
0.108911    0.604228
0.118812    0.628505
0.128713    0.649482
0.138614    0.667471
0.148515    0.682755
0.158416    0.695587
0.168317    0.706199
0.178218    0.7148
0.188119    0.72158
0.19802    0.72671
0.207921    0.730347
0.217822    0.73263
0.227723    0.733687
0.237624    0.733635
0.247525    0.732577
0.257426    0.730608
0.267327    0.727814
0.277228    0.724274
0.287129    0.720056
0.29703    0.715226
0.306931    0.709841
0.316832    0.703953
0.326733    0.697609
0.336634    0.690853
0.346535    0.683724
0.356436    0.676256
0.366337    0.668482
0.376238    0.66043
0.386139    0.652126
0.39604    0.643595
0.405941    0.634858
0.415842    0.625934
0.425743    0.616841
0.435644    0.607594
0.445545    0.598209
0.455446    0.588698
0.465347    0.579073
0.475248    0.569345
0.485149    0.559524
0.495049    0.549618
0.50495    0.539635
0.514851    0.529583
0.524752    0.519468
0.534653    0.509296
0.544554    0.499073
0.554455    0.488803
0.564356    0.47849
0.574257    0.468139
0.584158    0.457754
0.594059    0.447337
0.60396    0.436892
0.613861    0.426421
0.623762    0.415926
0.633663    0.405411
0.643564    0.394876
0.653465    0.384324
0.663366    0.373756
0.673267    0.363174
0.683168    0.352579
0.693069    0.341972
0.70297    0.331355
0.712871    0.320728
0.722772    0.310092
0.732673    0.299449
0.742574    0.288798
0.752475    0.278141
0.762376    0.267479
0.772277    0.256811
0.782178    0.246138
0.792079    0.235461
0.80198    0.224779
0.811881    0.214095
0.821782    0.203407
0.831683    0.192716
0.841584    0.182022
0.851485    0.171327
0.861386    0.160629
0.871287    0.149928
0.881188    0.139227
0.891089    0.128523
0.90099    0.117818
0.910891    0.107112
0.920792    0.0964048
0.930693    0.0856964
0.940594    0.0749869
0.950495    0.0642766
0.960396    0.0535654
0.970297    0.0428535
0.980198    0.032141
0.990099    0.0214279
1    0.0107142
