x_mat     x2
0.0281972    0.217729
0.0282972    0.218383
0.0283972    0.219037
0.0284972    0.21969
0.0285971    0.220342
0.0286971    0.220994
0.0287971    0.221644
0.0288971    0.222294
0.0289971    0.222944
0.0290971    0.223592
0.0291971    0.22424
0.0292971    0.224887
0.0293971    0.225533
0.0294971    0.226179
0.029597    0.226824
0.029697    0.227468
0.029797    0.228111
0.029897    0.228753
0.029997    0.229395
0.030097    0.230036
0.030197    0.230677
0.030297    0.231316
0.030397    0.231955
0.030497    0.232593
0.0305969    0.23323
0.0306969    0.233867
0.0307969    0.234503
0.0308969    0.235138
0.0309969    0.235773
0.0310969    0.236406
0.0311969    0.237039
0.0312969    0.237671
0.0313969    0.238303
0.0314969    0.238934
0.0315968    0.239564
0.0316968    0.240193
0.0317968    0.240822
0.0318968    0.241449
0.0319968    0.242077
0.0320968    0.242703
0.0321968    0.243329
0.0322968    0.243954
0.0323968    0.244578
0.0324968    0.245201
0.0325967    0.245824
0.0326967    0.246446
0.0327967    0.247067
0.0328967    0.247688
0.0329967    0.248308
0.0330967    0.248927
0.0331967    0.249545
0.0332967    0.250163
0.0333967    0.25078
0.0334967    0.251396
0.0335966    0.252012
0.0336966    0.252627
0.0337966    0.253241
0.0338966    0.253854
0.0339966    0.254467
0.0340966    0.255079
0.0341966    0.25569
0.0342966    0.256301
0.0343966    0.256911
0.0344966    0.25752
0.0345965    0.258129
0.0346965    0.258736
0.0347965    0.259343
0.0348965    0.25995
0.0349965    0.260555
0.0350965    0.26116
0.0351965    0.261764
0.0352965    0.262368
0.0353965    0.262971
0.0354965    0.263573
0.0355964    0.264174
0.0356964    0.264775
0.0357964    0.265375
0.0358964    0.265974
0.0359964    0.266573
0.0360964    0.267171
0.0361964    0.267768
0.0362964    0.268364
0.0363964    0.26896
0.0364964    0.269555
0.0365963    0.27015
0.0366963    0.270744
0.0367963    0.271337
0.0368963    0.271929
0.0369963    0.272521
0.0370963    0.273112
0.0371963    0.273702
0.0372963    0.274291
