x_mat     x2
0    0
0.000999001    0.00893232
0.001998    0.0178646
0.002997    0.0266982
0.003996    0.0354338
0.004995    0.0440727
0.00599401    0.0526156
0.00699301    0.0610636
0.00799201    0.0694176
0.00899101    0.0776786
0.00999001    0.0858474
0.010989    0.093925
0.011988    0.101912
0.012987    0.10981
0.013986    0.11762
0.014985    0.125341
0.015984    0.132976
0.016983    0.140525
0.017982    0.147989
0.018981    0.155369
0.01998    0.162665
0.020979    0.169879
0.021978    0.177011
0.022977    0.184062
0.023976    0.191033
0.024975    0.197925
0.025974    0.204738
0.026973    0.211474
0.027972    0.218132
0.028971    0.224715
0.02997    0.231222
0.030969    0.237654
0.031968    0.244012
0.032967    0.250297
0.033966    0.256509
0.034965    0.26265
0.035964    0.26872
0.036963    0.274719
0.037962    0.280649
0.038961    0.28651
0.03996    0.292302
0.040959    0.298027
0.041958    0.303685
0.042957    0.309276
0.043956    0.314802
0.044955    0.320263
0.045954    0.32566
0.046953    0.330993
0.047952    0.336263
0.048951    0.341471
0.04995    0.346617
0.050949    0.351702
0.0519481    0.356726
0.0529471    0.36169
0.0539461    0.366595
0.0549451    0.371441
0.0559441    0.376229
0.0569431    0.380959
0.0579421    0.385633
0.0589411    0.390249
0.0599401    0.39481
0.0609391    0.399316
0.0619381    0.403766
0.0629371    0.408163
0.0639361    0.412505
0.0649351    0.416795
0.0659341    0.421032
0.0669331    0.425217
0.0679321    0.42935
0.0689311    0.433432
0.0699301    0.437463
0.0709291    0.441444
0.0719281    0.445376
0.0729271    0.449259
0.0739261    0.453093
0.0749251    0.456879
0.0759241    0.460617
0.0769231    0.464308
0.0779221    0.467952
0.0789211    0.471551
0.0799201    0.475103
0.0809191    0.47861
0.0819181    0.482072
0.0829171    0.48549
0.0839161    0.488863
0.0849151    0.492193
0.0859141    0.495481
0.0869131    0.498725
0.0879121    0.501927
0.0889111    0.505087
0.0899101    0.508206
0.0909091    0.511284
0.0919081    0.514321
0.0929071    0.517318
0.0939061    0.520275
0.0949051    0.523193
0.0959041    0.526071
0.0969031    0.528911
0.0979021    0.531713
0.0989011    0.534477
0.0999001    0.537204
0.100899    0.539893
0.101898    0.542545
0.102897    0.545162
0.103896    0.547742
0.104895    0.550286
0.105894    0.552795
0.106893    0.55527
0.107892    0.557709
0.108891    0.560115
0.10989    0.562486
0.110889    0.564824
0.111888    0.567128
0.112887    0.5694
0.113886    0.571639
0.114885    0.573846
0.115884    0.576021
0.116883    0.578164
0.117882    0.580276
0.118881    0.582357
0.11988    0.584407
0.120879    0.586427
0.121878    0.588416
0.122877    0.590376
0.123876    0.592306
0.124875    0.594208
0.125874    0.59608
0.126873    0.597923
0.127872    0.599739
0.128871    0.601526
0.12987    0.603285
0.130869    0.605017
0.131868    0.606722
0.132867    0.608399
0.133866    0.61005
0.134865    0.611675
0.135864    0.613273
0.136863    0.614846
0.137862    0.616393
0.138861    0.617914
0.13986    0.619411
0.140859    0.620882
0.141858    0.622329
0.142857    0.623751
0.143856    0.625149
0.144855    0.626524
0.145854    0.627874
0.146853    0.629202
0.147852    0.630506
0.148851    0.631787
0.14985    0.633045
0.150849    0.63428
0.151848    0.635494
0.152847    0.636685
0.153846    0.637855
0.154845    0.639003
0.155844    0.640129
0.156843    0.641234
0.157842    0.642318
0.158841    0.643382
0.15984    0.644424
0.160839    0.645447
0.161838    0.646449
0.162837    0.647431
0.163836    0.648394
0.164835    0.649337
0.165834    0.65026
0.166833    0.651164
0.167832    0.65205
0.168831    0.652916
0.16983    0.653764
0.170829    0.654593
0.171828    0.655405
0.172827    0.656198
0.173826    0.656973
0.174825    0.65773
0.175824    0.65847
0.176823    0.659193
0.177822    0.659898
0.178821    0.660586
0.17982    0.661258
0.180819    0.661912
0.181818    0.66255
0.182817    0.663172
0.183816    0.663778
0.184815    0.664367
0.185814    0.664941
0.186813    0.665499
0.187812    0.666042
0.188811    0.666569
0.18981    0.66708
0.190809    0.667577
0.191808    0.668059
0.192807    0.668526
0.193806    0.668978
0.194805    0.669416
0.195804    0.669839
0.196803    0.670248
0.197802    0.670643
0.198801    0.671024
0.1998    0.671391
0.200799    0.671745
0.201798    0.672085
0.202797    0.672412
0.203796    0.672725
0.204795    0.673025
0.205794    0.673313
0.206793    0.673587
0.207792    0.673849
0.208791    0.674098
0.20979    0.674334
0.210789    0.674559
0.211788    0.67477
0.212787    0.67497
0.213786    0.675158
0.214785    0.675334
0.215784    0.675498
0.216783    0.675651
0.217782    0.675792
0.218781    0.675921
0.21978    0.676039
0.220779    0.676146
0.221778    0.676242
0.222777    0.676327
0.223776    0.676401
0.224775    0.676465
0.225774    0.676518
0.226773    0.67656
0.227772    0.676591
0.228771    0.676613
0.22977    0.676624
0.230769    0.676625
0.231768    0.676616
0.232767    0.676597
0.233766    0.676568
0.234765    0.67653
0.235764    0.676482
0.236763    0.676424
0.237762    0.676357
0.238761    0.676281
0.23976    0.676195
0.240759    0.6761
0.241758    0.675996
0.242757    0.675883
0.243756    0.675761
0.244755    0.675631
0.245754    0.675491
0.246753    0.675343
0.247752    0.675187
0.248751    0.675022
0.24975    0.674848
0.250749    0.674667
0.251748    0.674477
0.252747    0.674279
0.253746    0.674073
0.254745    0.673859
0.255744    0.673637
0.256743    0.673407
0.257742    0.67317
0.258741    0.672924
0.25974    0.672672
0.260739    0.672411
0.261738    0.672144
0.262737    0.671869
0.263736    0.671587
0.264735    0.671297
0.265734    0.671
0.266733    0.670697
0.267732    0.670386
0.268731    0.670068
0.26973    0.669744
0.270729    0.669412
0.271728    0.669074
0.272727    0.66873
0.273726    0.668378
0.274725    0.668021
0.275724    0.667656
0.276723    0.667286
0.277722    0.666909
0.278721    0.666525
0.27972    0.666136
0.280719    0.66574
0.281718    0.665339
0.282717    0.664931
0.283716    0.664517
0.284715    0.664098
0.285714    0.663672
0.286713    0.663241
0.287712    0.662804
0.288711    0.662361
0.28971    0.661913
0.290709    0.661459
0.291708    0.661
0.292707    0.660535
0.293706    0.660065
0.294705    0.659589
0.295704    0.659108
0.296703    0.658622
0.297702    0.658131
0.298701    0.657635
0.2997    0.657133
0.300699    0.656627
0.301698    0.656115
0.302697    0.655599
0.303696    0.655077
0.304695    0.654551
0.305694    0.65402
0.306693    0.653485
0.307692    0.652944
0.308691    0.652399
0.30969    0.65185
0.310689    0.651296
0.311688    0.650737
0.312687    0.650174
0.313686    0.649606
0.314685    0.649034
0.315684    0.648458
0.316683    0.647877
0.317682    0.647293
0.318681    0.646703
0.31968    0.64611
0.320679    0.645513
0.321678    0.644912
0.322677    0.644306
0.323676    0.643697
0.324675    0.643083
0.325674    0.642466
0.326673    0.641845
0.327672    0.64122
0.328671    0.640591
0.32967    0.639958
0.330669    0.639322
0.331668    0.638682
0.332667    0.638038
0.333666    0.637391
0.334665    0.63674
0.335664    0.636086
0.336663    0.635428
0.337662    0.634766
0.338661    0.634101
0.33966    0.633433
0.340659    0.632761
0.341658    0.632086
0.342657    0.631408
0.343656    0.630727
0.344655    0.630042
0.345654    0.629354
0.346653    0.628662
0.347652    0.627968
0.348651    0.627271
0.34965    0.62657
0.350649    0.625866
0.351648    0.62516
0.352647    0.62445
0.353646    0.623737
0.354645    0.623022
0.355644    0.622303
0.356643    0.621582
0.357642    0.620858
0.358641    0.620131
0.35964    0.619401
0.360639    0.618669
0.361638    0.617933
0.362637    0.617195
0.363636    0.616455
0.364635    0.615711
0.365634    0.614965
0.366633    0.614217
0.367632    0.613466
0.368631    0.612712
0.36963    0.611956
0.370629    0.611197
0.371628    0.610436
0.372627    0.609672
0.373626    0.608906
0.374625    0.608138
0.375624    0.607367
0.376623    0.606593
0.377622    0.605818
0.378621    0.60504
0.37962    0.60426
0.380619    0.603477
0.381618    0.602693
0.382617    0.601906
0.383616    0.601117
0.384615    0.600326
0.385614    0.599532
0.386613    0.598737
0.387612    0.597939
0.388611    0.597139
0.38961    0.596338
0.390609    0.595534
0.391608    0.594728
0.392607    0.59392
0.393606    0.59311
0.394605    0.592298
0.395604    0.591484
0.396603    0.590669
0.397602    0.589851
0.398601    0.589032
0.3996    0.58821
0.400599    0.587387
0.401598    0.586562
0.402597    0.585735
0.403596    0.584906
0.404595    0.584076
0.405594    0.583243
0.406593    0.58241
0.407592    0.581574
0.408591    0.580736
0.40959    0.579897
0.410589    0.579056
0.411588    0.578214
0.412587    0.57737
0.413586    0.576524
0.414585    0.575677
